artist,album,track,uri
Justin Bieber,Believe,Right Here,spotify:track:134ih8wLwhgx292RjhefXA
Ski Mask The Slump God,You Will Regret,Catch Me Outside,spotify:track:4rgwri7LajWVZvdj2N81SS
Kelela,"TAKE ME A_PART, THE REMIXES",KAYTRANADA_WAITIN_115 BPM,spotify:track:1WivaDTus6pTZQQLBQYDm3
Lou Phelps,EXTRA EXTRA!,SMILING,spotify:track:28xRKT60WwfDDb5pHtJT2N
The Alchemist,"Flying High, Part 2",Paint Different (feat. Curren$y),spotify:track:7wWQghZgsaCoiyLcxyEBGR
MadeinTYO,Uber Everywhere,Uber Everywhere,spotify:track:7zBPzAjKAqQpcv8F8GCq5s
BOSCO,B.,Flowers,spotify:track:2o88HJsQL1NJ80IA73UFJF
Bellah,Evil Eye - A COLORS SHOW,Evil Eye - A COLORS SHOW,spotify:track:0X4OaqRlKPYdIFL2LZECHv
Rihanna,Lift Me Up,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,spotify:track:35ovElsgyAtQwYPYnZJECg
Dana and Alden,"Coyote, You're My Star",Ivan's Theme,spotify:track:1wXn09ZmYt6DyDkIQCFx8p
Lolo Zouaï,Galipette (BIBI Remix),Galipette - BIBI Remix,spotify:track:7x5xZs5VbPxNsdmGAj6Hch
Q,NOT ALONE,NOT ALONE,spotify:track:42RpLZC6rKzQZyLMaJMsDJ
Big Words,The Answer,The Answer,spotify:track:6ixxKDKXo0W0Z15UjUbTJj
Dreamville,Revenge Of The Dreamers III,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",spotify:track:36J0iaPDGbYGsHvYpaYs3k
TWICE,STRATEGY,Strategy (feat. Megan Thee Stallion),spotify:track:5zQUndaoBtXJ10SsApqtvw
Kevin Abstract,ARIZONA baby,Big Wheels,spotify:track:1PyPKL95WlzYMlRpJTaTzd
Kojey Radical,Cashmere Tears,Sugar (feat. Amaarae),spotify:track:3RqG7994RtLMTCJAK0yoQv
Mac Miller,Blue Slide Park,Missed Calls,spotify:track:6ET22Ri3FYXi5C8BBqHWcO
Grupo Frontera,un x100to,un x100to,spotify:track:6pD0ufEQq0xdHSsRbg9LBK
nour,Purple Heart,Purple Heart,spotify:track:0g8P2VoFE4RythPhp0myDT
Victor Internet,U Got My,U Got My,spotify:track:3AkYhT3aDhyHiBEvBghn20
Kendrick Lamar,"good kid, m.A.A.d city",Real,spotify:track:5d8yMIlqJH78lwOUP7T3oF
Ndotz,NETF (Freestyle),NETF (Freestyle),spotify:track:0olqABuiNf9yXhy3CyAIqo
Ciscero,POETRY JAM (feat. Foggieraw),POETRY JAM (feat. Foggieraw),spotify:track:4m4IJ0GaepAsVNP3qqSVDW
Ric Wilson,BANBA,"Sinner (feat. Kweku Collins, Nick Kosma & Rane Raps)",spotify:track:1ALTlRUB6QWkP8nCfNV8gH
V.C.R,The Chronicles of a Caterpillar: The Egg,TRiP,spotify:track:4Y7einWA2eD36nQwiprcKf
"Tyler, The Creator",CALL ME IF YOU GET LOST,LUMBERJACK,spotify:track:0BiK5BbYNFLb88CCOxBFJe
MonoNeon,My Feelings Be Peeling,Hot Cheetos,spotify:track:4IfdUgyqsiIgAzx00utJs0
Domo Genesis,Online,Online,spotify:track:4cYmKI4OiHA3unLbUuPhUl
Aminé,Charmander,Charmander,spotify:track:4NP3gHruXgIo4YSJSNDRBz
Baby Keem,The Melodic Blue,trademark usa,spotify:track:15hJmqqEtASVXl6sM7i4UF
Aminé,Shimmy,Shimmy,spotify:track:7iG6aXHLFg9tBzP6OIyuJa
IDK,DENiM (feat. Joey Bada$$),DENiM,spotify:track:1ULyVVWV7PjtOfGM1UspG7
Samm Henshaw,Broke,Broke,spotify:track:1JqcZQCnxjDOfZZwQidb1H
The Killers,Hot Fuss,Mr. Brightside,spotify:track:7oK9VyNzrYvRFo7nQEYkWN
Nascent,DON'T GROW UP TOO SOON,Big Brown Eyes (feat. Orion Sun),spotify:track:6S6zEbyS0FGkMcVWERd8cS
Cleo Sol,Heaven,Miss Romantic,spotify:track:71pFw48rIGZRAMbtWbA2XJ
O.E.,Wait for Me,Feelings,spotify:track:1aTfZuq0C0ItGcakurYj4I
Kendrick Lamar,"good kid, m.A.A.d city",Compton,spotify:track:1wf4LnpdAhLaoI2WwYDKAE
Radiohead,In Rainbows,Weird Fishes / Arpeggi,spotify:track:4wajJ1o7jWIg62YqpkHC7S
Still Woozy,Lucy,Lucy,spotify:track:5RxpYHVbGJPOvSEATQyg9P
AQUIHAYAQUIHAY,Tiempo Perfecto,Tiempo Perfecto,spotify:track:2gJ5HpHVVkFu5eQkw0eIt0
Comethazine,Bawskee,Walk,spotify:track:21kOVEG3bDCVphKhXL8XmQ
"Tyler, The Creator",IGOR,EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,spotify:track:5e4LIAQI0bClLazNf2gZV0
Zacari,Foggy Windows,Foggy Windows,spotify:track:0eWxDnXDbsR4h1kVk6rZdy
KIRBY,Sis.,Penny,spotify:track:5PXw5zDuvTgG7wlYAsXMYP
Injury Reserve,Superman That,Knees,spotify:track:7fzzgLyDqZSop7B68Gh0zW
Calvin Harris,Over Now (with The Weeknd),Over Now (with The Weeknd),spotify:track:4HaKJH8swiAIRuiU2mgr6f
Carlina,Lucky Girl,Lucky Girl,spotify:track:6bWGTqdG9L8s2crvedq94m
Kasien,DON'T LET THE DEVIL IN,DO WHAT I LIKE,spotify:track:1w7gDQluRmhXqDi2jjqM1K
Tempest,Cha Cha Freestyle,Cha Cha Freestyle,spotify:track:5rsw7gLiwKCB2Ycg7FwGxg
070 Shake,Web,Web,spotify:track:4C79MQWKw9ov99q8AXXBpe
MF DOOM,Operation: Doomsday (Complete),Doomsday,spotify:track:7lT1dCz96jANsLAAADlfIg
Quelle Chris,Innocent Country 2,Graphic Bleed Outs,spotify:track:6hTF0hyr1PfF12UOjs4GZu
Kanye West,The College Dropout,All Falls Down,spotify:track:2cYZpcIV39X48RnOFM7w2V
Majid Jordan,Majid Jordan,Every Step Every Way,spotify:track:6iPzFPafHG23FomvNwgOLl
"Earth, Wind & Fire","Constellations: The Universe of Earth, Wind & Fire",All About Love (First Impression) - Original Sketch,spotify:track:7F1sAxmAfvj9AmKDbRXwTw
Ariana Grande,Positions,obvious,spotify:track:0q85C1JiECyYIQthz1posA
Marigold,I Hope This Doesn't Feel New //Collector's Edition//,Ocean Sun,spotify:track:2m4p72j57KZNvyDxgniBEN
Ivan Ave,Gear,Gear,spotify:track:4STKrNyXPJquJRubjA70FR
Aphex Twin,Selected Ambient Works 85-92,Xtal,spotify:track:7o2AeQZzfCERsRmOM86EcB
Gold Hippy,Fall in Love,Fall in Love,spotify:track:5Ei3KbDcslKDBmsbzcL2UQ
Terrace Martin Presents The Pollyseeds,Sounds Of Crenshaw Vol. 1,Intentions,spotify:track:0gfqPK6VtyXjBrhjqUmieg
Yussef Kamaal,Black Focus,Strings of Light,spotify:track:3hEOsfDNsdpV78Ty01vaxi
FLO,The Lead,Summertime,spotify:track:5KZVbtDMFcurkynWsncKtr
Joe Hertz,Rain in Cuba,Rain in Cuba,spotify:track:47Kg8rGMqxujhTzpOCnClN
Kendrick Lamar,Section.80,Tammy's Song (Her Evils),spotify:track:3RPK9VQuTsiTySY48ldeqx
Dana and Alden,"Coyote, You're My Star",Chocobanano,spotify:track:5eeHAi6zLoyWaAamaprldU
Dreamville,Revenge Of The Dreamers III: Director's Cut,"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)",spotify:track:5lnkEsVe0nThSA7YcvzTLA
Disclosure,You've Got To Let Go If You Want To Be Free,You've Got To Let Go If You Want To Be Free,spotify:track:5kVXjAxYDkN57tZQi0JKya
Still Woozy,Habit,Habit,spotify:track:1M321puDN1WBd5NF0ogOKW
"Tyler, The Creator",IGOR,RUNNING OUT OF TIME,spotify:track:5QvBXUm5MglLJ3iBfTX2Wo
Wez Clarke,Beach House: Funky Laid Back Grooves - Mixed By Love Assassins,Bringing Me Back,spotify:track:2hjHX4QYLS2UROdlkvMo3S
Drake,So Far Gone,Sooner Than Later,spotify:track:43iKgGbmfqPLh3mxUlospI
Jordan Stephens,Let Me Die Inside You,Big Bad Mood (feat. Miraa May),spotify:track:1Wu9EjGPifgj9Mzm1P8C03
Sango,Neutral (Interlude),Neutral (Interlude),spotify:track:316M4C87p3mN4LeCjYpUBg
Craig David,Born to Do It,7 Days,spotify:track:0gPQTLaqHDgdupKEok7J2x
Franz Liszt,Études,"Étude de Concert in D Flat Major, S144 No. 3: ""Un Sospiro""",spotify:track:150hsYSC33ppTwTKuTEoic
MIMIDEATH,FOAR EVERYWUN FRUM MIMI,abusive,spotify:track:7f5o7afMziVh2QUSKAcz1n
River Tiber,Tell Her,Tell Her,spotify:track:0ZcA1W51b0NeKhoQzHdA7Q
Grizzly Bear,Veckatimest,Two Weeks,spotify:track:0iTpQYzJnYgh7kIxyq8A2O
Omar Apollo,Pram,Pram,spotify:track:2Xr7HgmjHFmS2DAvRphBQc
Mary J. Blige,Mary,All That I Can Say,spotify:track:0b7tfmHH7G72ZByouk4WEh
Juice Cuice,Ecstasy,Ecstasy,spotify:track:1nmzXxf8QSkqkI8T7RJTPg
Selah Sue,Lune Rouge,I Wish I Could (feat. Selah Sue),spotify:track:6znZbTV31rdQmVDocXV8vH
River Tiber,Hypnotized,Hypnotized,spotify:track:26yBLIT9pT9sVmGV1G5ok6
Childish Gambino,"""Awaken, My Love!""",Me and Your Mama,spotify:track:4r0GVpjSsKSR1biv4fOoa5
Joyce Wrice,Overgrown,That's On You - Japanese Remix,spotify:track:56Vy5lJUoHTI90MMnyI2CM
Anik Khan,Oh My,Oh My,spotify:track:4nuuufXmtCY0o9tqPjMaKb
Childish Gambino,Because The Internet,3005,spotify:track:3Z2sglqDj1rDRMF5x0Sz2R
Kyo-Ken,Most Beautiful Ride,Most Beautiful Ride,spotify:track:6hvxY6LLGrwJ8xf25OEOv7
KAYTRAMINÉ,KAYTRAMINÉ,letstalkaboutit,spotify:track:0Z4oNNgJKK9VcuSw1L5Cb4
Jim Legxacy,candy reign (!),candy reign (!),spotify:track:35cVkyTqIGkwpg7OhIl5TE
CARRTOONS,Saturday Night,Spaceships,spotify:track:31bc2FenRg2KVCoIeSPg7E
FlyBoyFu,4DaGram,4DaGram - Remix,spotify:track:16OztXhS2TVT9VLM3AfKSQ
Still Woozy,Wolfcat,Wolfcat,spotify:track:0T1hQWoeHLABtNE0gpPCd0
Sango,In The Comfort Of,Sweet Holy Honey (feat. Xavier Omär),spotify:track:6DTVnv7jEHFJhDIxlRwC3i
Lou Phelps,I Dunno,I Dunno,spotify:track:6aqMhnDtKgD34c34hgnVrP
Omar Apollo,Tamagotchi,Tamagotchi,spotify:track:2avRIlZPDXdDOdPIgCcKq3
TAEMIN,Press It - The 1st Album,Drip Drop,spotify:track:6PppMusxa0Hf2dfoByDg1j
Lay Bankz,Now You See Me,Ick,spotify:track:7nn4MXs89QymmNzRreTywe
Teezo Touchdown,How Do You Sleep At Night?,Daddy Mama Drama,spotify:track:3I2rUjp8TXOQfeRmOsMKcN
Inner Wave,Sun Transmission,1 4 2,spotify:track:69Tf2qK9sYOi1ncnXrfIUV
Smino,blkjuptr,blkjuptr,spotify:track:08bymSahrAUpabFR6YSiy9
Foolie $urfin,Stay Safe,WHERE YOU BEEN,spotify:track:5whMuC5R45eJ51iUGHKb4L
The Game,Stainless,Stainless,spotify:track:2pfQV8HU5H9RMwDOCzgAs9
J. Cole,Might Delete Later,"Pricey (feat. Ari Lennox, Young Dro & Gucci Mane)",spotify:track:2w5BtuWXISpB6NM4xPoeiR
"Tyler, The Creator",IGOR,WHAT'S GOOD,spotify:track:6bOkaEXc5CopinGazSLokx
KEY,Gasoline - The 2nd Album,Guilty Pleasure,spotify:track:4IzGCCxBtppHFNeSplnWLT
Potatohead People,Eat Your Heart Out,Keepin' It Kool,spotify:track:5GZYAoiqSNHgB5CERgnqUV
Drake,Toosie Slide,Toosie Slide,spotify:track:127QTOFJsJQp5LbJbu3A1y
Zacari,Heaven Sent (feat. J-Louis),Heaven Sent (feat. J-Louis),spotify:track:5YwuJotHN5IwK5Brb25nwe
Bone Nest,Marble Slab,Marble Slab,spotify:track:2nBHYzWa9CotlsI1m4hBl7
Bearcubs,Underwaterfall,Underwaterfall,spotify:track:4X9JAGRyJnnHN3KUjq1r9C
Devin Tracy,Soulection Black Label: Devin Tracy,Favorite Lover,spotify:track:0xUszg2nRDsOMOXhD5fWR8
DEAN,Limbo,넘어와 (Feat. 백예린),spotify:track:7LN1f9jAIu7yxBzsLMN7RB
Anne-Marie,Karate EP,Gemini,spotify:track:3fLaN5F53WXSeYjbd1LCuT
Niko B,dog eat dog food world,ur a bundle of joy !,spotify:track:3XHo6fOc3QA2t6MHrpcG5w
DJ Khaled,GREECE (feat. Drake),GREECE (feat. Drake),spotify:track:35RJhm1pEovTBwnNR0zWad
Dana and Alden,"Coyote, You're My Star","Coyote, You're My Star",spotify:track:2tZ4GQajl2yetk2EA8SvMW
Berhana,G2g,G2g,spotify:track:0gOqyK1V7MmaoW3jyRWTj2
Azealia Banks,Slay-Z,Along the Coast,spotify:track:0YK3VRoWC8ACeY8TQTkOSR
Choker,Peak,Diorama,spotify:track:6J36Vu4P6ub8bwgVPcBKgp
SERAPHINE NOIR,Red Sun,Red Sun,spotify:track:2kQ5NSgZ9RSqoFe1DhTz2o
Daniel Caesar,Freudian,Hold Me Down,spotify:track:1Mza2sr6tPhy6jjI3HB9fW
Ariana Grande,Jason's Song (Gave It Away),Jason's Song (Gave It Away),spotify:track:6Ssc4jbDuIwxDp3i60JcT4
Mad Keys,Kiatus Haiote,Kiatus Haiote,spotify:track:0oJpH7NIlTpCged7gctspo
ODIE,Analogue,Little Lies,spotify:track:6QpZXzHcOgXK41Y3YCx203
Q,Forest Green,I Might Slip Away if I Don't Feel Nothing,spotify:track:29kixq8kxaIuxN0TAZomaU
Childish Gambino,"""Awaken, My Love!""",Riot,spotify:track:2u9kn2AZkrMCb11SuaGGGi
bLAck pARty,Mango,Bloom,spotify:track:05xA64s3UzOOmAnh9SIIjn
((( O ))),((( 2 ))),Omw,spotify:track:7CanFKpPTEgaxqIu6RXBIf
Jakob,Sunshine Girl,Sunshine Girl - Demo,spotify:track:5bj2XmbAU0WCGI14P4LsON
River Tiber,Dreaming Eyes (Instrumentals),Inside out (Instrumental),spotify:track:7AOJ63YGjNu38qfLU3Xb9Q
Telemakus,The New Heritage,Moondrive,spotify:track:2D1ZG3CPXzHG6RVHyjeqtq
Gabriel Garzón-Montano,Bishouné: Alma del Huila,6 8,spotify:track:5TGdfYCmZtLcWoBXpuglHo
Jordan Ward,FORWARD,SIDEKICK (with Joyce Wrice) - BONUS,spotify:track:0h3BFerMyzUaYYh2nwGiX3
Terrace Martin,sneek,Common Ground,spotify:track:0GWOhOxjumDONeZ6YIZJkW
Crumb,Crushxd,Crushxd,spotify:track:3asSrvrWbMpX4v4ilkj5So
KYLE,Suddenly,Suddenly,spotify:track:0TRW7Q3cR5KBFSgHcmxB7t
Tamera,Insensitive,Insensitive,spotify:track:3c1cNtcW4R8X54QOz86Lwi
salute,Jennifer,Jennifer,spotify:track:3YlUuMG4Guve8SxlxYqJ2W
Jay2,4 Tha Wait,Pomegranate,spotify:track:2sZKOAaCkZIvYPadywBqDp
James Tillman,Shangri La EP,Shangri La,spotify:track:1Zm0eMqgjZqW5DZ2a3KGwp
Ms. Lauryn Hill,Pop Music: The Modern Era 1976-1999,Doo Wop (That Thing),spotify:track:41Vs28E6Es3QdxIRqDnBv1
Bilal,In Another Life,Bury Me Next to You,spotify:track:5a7ZgKVPSZUVsywUzyG84o
Beyoncé,B'Day,Kitty Kat,spotify:track:5XagNVHf4diy4zeM5p0VZc
Beyoncé,I AM...SASHA FIERCE,Video Phone,spotify:track:53hNzjDClsnsdYpLIwqXvn
Benny The Butcher,Johnny P's Caddy,Johnny P's Caddy,spotify:track:6AshXllQhobwSXsdpgp41w
"Tyler, The Creator",Goblin,She,spotify:track:4y4KG66qCAN2TTevOAEjHy
Photay,Photay,"These Fruits, These Vegetables",spotify:track:1DsgLkAfB6fSJKRgBEpHBa
JMSN,Velvet,Levy,spotify:track:6w0k9yloCrf7CzDZ1LqAeU
Wealstarcks,Gratidaoh,Vulva Diva,spotify:track:5CbKgQZ99p5pBsqyCScLMS
Spanish Gold,South Of Nowhere,Movin On,spotify:track:4NwCjuEApq8YVZ6BAROtKK
Sweet Trip,Velocity: Design: Comfort.,Pro: Lov: Ad,spotify:track:7rR1msZYCT2MlrssnJMYgw
Ric Wilson,COCO BADASS (feat. Kiéla Adira),COCO BADASS (feat. Kiéla Adira),spotify:track:3KMTZV1aEMrzrObovCpf6d
Carly Rae Jepsen,The Loneliest Time,Anxious - Bonus Track,spotify:track:1dTkx1nSrcMSUoGffsn07A
ROMderful,"SummerTimeTing (feat. Mayzin, Emmavie & KayFaraway)","SummerTimeTing (feat. Mayzin, Emmavie & KayFaraway)",spotify:track:0TZE4jbqhFHYKTSG6VjEUM
WILLOW,<maybe> it's my fault,<maybe> it's my fault,spotify:track:4w5wkuwuCByenZ6QufdeQN
Abby Jasmine,Who Cares?,Groovy (feat. Guapdad 4000),spotify:track:5lAziil6mBTE447oPBcOIA
Kaiit,Lil Mama Theme Song,Lil Mama Theme Song,spotify:track:0ZvdsKZ4pfXzqJDIX5z9NQ
Yoshi T.,MAYBE NEXT YEAR,MAYBE NEXT YEAR,spotify:track:7fzpNVuHBsMuZ9u5lc4TGT
Dana and Alden,"Coyote, You're My Star","Coyote, You're My Star",spotify:track:63HZCbzxt9jcJ7S7GlS65j
Kero Kero Bonito,Intro Bonito,Sick Beat,spotify:track:0xWyNog48MXUt5Eu8DH9EX
General Elektriks,Good City For Dreamers,Engine Kickin' In,spotify:track:5UJEVvbU81WRbmsOpCnFU0
Majid Jordan,The Space Between,Gave Your Love Away,spotify:track:3V35bKSSm4usoSPjdaRGMx
Jitwam,Honeycomb,Temptations,spotify:track:7pQDd79NZRdYckl285oxBD
The Last Skeptik,See You in the Next Life,I Like That,spotify:track:5dVt8p6SYNZjysDpeB8wPl
Flwr Chyld,Luv N Chaos,Lucky Me,spotify:track:2E25yFTkFXLwtWPMqftlbZ
Kelis,Tasty,Suga Honey Iced Tea,spotify:track:6HjzGcCtnFNfzA3N1ftR2v
KeithCharles,Heartbreak at Our Age,Heartbreak at Our Age,spotify:track:2Eq0zVECzSBEQTRN0tt4HW
Larry Lovestein & The Velvet Revival,You,Suspicions,spotify:track:4nRKMlLUK5sLa8lmuEA9iv
NCT U,일곱 번째 감각 The 7th Sense,"일곱 번째 감각 The 7th Sense (Sung by TAEYONG, MARK, JAEHYUN, DOYOUNG, TEN)",spotify:track:5TkRTndV0IgRRO3HVr94P1
Bruno Major,Easily,Easily,spotify:track:3TpXajg1nKzG3ngc9tBwrD
リアムMAZE1981,Broken Love,Plastic Love,spotify:track:6w9Ob2zjMx1o614BI9wZsI
Gabriel Garzón-Montano,Bishouné: Alma del Huila,Everything is Everything,spotify:track:0uZrIgTdPwNuXOxi4Slt2s
Pip Millett,"When Everything Is Better, I'll Let You Know",Slow,spotify:track:1j3b3PBvAHm1rrNFP1ge1N
Logic,Everybody,Everybody,spotify:track:51sVgPeBHYwbeM1cWegVqR
DJ Khaled,Major Key,Jermaine's Interlude (feat. J. Cole),spotify:track:4LAp0EFUdBeVCkusdw8i77
Drake,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),spotify:track:2SAqBLGA283SUiwJ3xOUVI
BIBI,Derre,Burn it (feat. DEAN),spotify:track:50hyZD2Tk0Z3by9zJmx6PT
Bad Bunny,X 100PRE,¿Quien Tu Eres?,spotify:track:6kN06eEOblRAuWI0xUUS91
Daniel Caesar,NEVER ENOUGH,Valentina,spotify:track:0b83L1ToHRiwlpmUAjiCHc
Dave,PSYCHODRAMA,Location (feat. Burna Boy),spotify:track:3z4CGd63tpUn9a6oQSG0CI
Childish Gambino,Lithonia,Lithonia,spotify:track:4JfpJrrGNXRj2yXm1fYV23
Jonti,Scrood,Scrood,spotify:track:54HKhh5RdVPAWj84nAHI4J
Young Franco,Studio 54,Studio 54,spotify:track:20blT6R5DJhfrk9c16lQ4E
Duckwrth,Birthday Suit,Birthday Suit,spotify:track:42y2nvLMc5wLFWW8z6j97b
Bryson Tiller,A N N I V E R S A R Y,Outta Time (feat. Drake),spotify:track:4SCnCPOUOUXUmCX2uHb3r7
Alabama Shakes,Sound & Color,Sound & Color,spotify:track:3wrqiZJKMSpLBvgFJfFOp1
Still Woozy,Lately EP,Ipanema,spotify:track:0phxK01nh2jkPnYe9wLfdO
DJ Khaled,GOD DID,STAYING ALIVE (feat. Drake & Lil Baby),spotify:track:7Ddk8FhoYKdsVoX9AOCPMm
Enchantée Julia,Boucle,Cinéma,spotify:track:56BGWAv78eJcxoLr0yQKna
Raleigh Ritchie,"You're a Man Now, Boy (Deluxe)",Cowards,spotify:track:7nWC1XQv8bRMpVYuh5Bexj
The Temptations,The Temptations Sing Smokey,My Girl,spotify:track:6jWkZvd1URGktyTTwcpPpB
"Tyler, The Creator",Wolf,WOLF,spotify:track:2JZpS2sOdJy37oBpn1GuPW
Photay,Onism,Inharmonious Slog,spotify:track:23fEf1PfWtRbVSUEizPNjH
Moonchild,Voyager,The List,spotify:track:0MezoO982AZR3AcfEZAdO0
BETWEEN FRIENDS,Eyes on my baby,Eyes on my baby,spotify:track:7cM6obAwlMkP6nDTwNPEl2
Smino,NOIR,Z4L (with Bari & Jay2),spotify:track:3X6YJcqTinaNraRvojF62K
Daley,Alone Together EP,Alone Together,spotify:track:5WBGDhBBIKqnJdPFlSmCWc
Ariana Grande,Sweetener,R.E.M,spotify:track:1xWH8zYtDeS9mW1JJG23VZ
Bad Bunny,X 100PRE,Solo de Mi,spotify:track:4uP3pUP18ennmz0tb3GphR
Frank Ocean,Blonde,Solo,spotify:track:35xSkNIXi504fcEwz9USRB
Jockstrap,I Love You Jennifer B,Jennifer B,spotify:track:3XlZoJ4VG4yGpLomIA53Th
Baby Keem,The Sound of Bad Habit,Baby Keem,spotify:track:6Hmc5Afutf4hcrjnBYNidS
Logic,The Incredible True Story,Innermission,spotify:track:1zucHJN4WKHIzSL4FyiJw9
Il Mago Del Gelato,Stracciatella,Stracciatella,spotify:track:6XQ5WKyNSxMXoLFB7kmgSA
KAYTRANADA,At All / Hilarity Duff EP,At All,spotify:track:0aR99yr1CNoxlZxm2veB65
Elujay,1080p,1080p,spotify:track:2Km5bvWLnzHTGZFkcZdXwo
KAYTRANADA,Lover/Friend,Lover/Friend,spotify:track:5ahq8vkzMznGmfN2EVOukP
Naomi Sharon,Daughter Of The Sun,Daughter Of The Sun,spotify:track:07x5IGHde3C9DdVGojqG5B
"Tyler, The Creator",CALL ME IF YOU GET LOST,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),spotify:track:3EG9FJ0ToLfgnc1IG2Z1wz
Yellow Days,What's It All For?,What's It All For?,spotify:track:2Y28HmBMyRrCgL0PTbkP7O
Hi-Fi Set,Hi-Fi Blend Pt. 1,スカイレストラン,spotify:track:1QpybTT7CadO6tsUBnoukv
Noname,Sundial,beauty supply,spotify:track:4oevXziJVFARkGMty2HdFF
Mac Ayres,Comfortable Enough,Something's Gotta Change,spotify:track:3yXdAGibihmvYZefyetN1S
Monsune,Tradition,CLOUD,spotify:track:7yeWt7sq2oRlEZWv880u9E
Kindness,Otherness,With You,spotify:track:71Ukt8JxMER4EcmJFVIjKN
Yves Tumor,Heaven To A Tortured Mind,Romanticist,spotify:track:5YixskhSGNwmqjUrG0DTEY
BOSCO,Some Day This Will All Make Sense,Paid In Full,spotify:track:62m4UqHaPNgk0nCnxmO5R9
Gareth Donkin,Inside,Inside,spotify:track:1wBbkeNf0sVAmpgqukt1Yx
Sans Soucis,The Lover,The Lover,spotify:track:7zOACFF5IaVyVwS5y5ozih
Duckwrth,Coming Closer,Coming Closer,spotify:track:0wCO06KSWHw28nRnq2k813
Nico Baran,FOR U,FOR U,spotify:track:2yn4gAMzl1h1GgCz5NN8N9
Wesley Joseph,Ghostin',Ghostin',spotify:track:02oUEbDQXcVITlLQKMPN1F
Jordan Ward,Valley Hopefuls,Okok (Hibachi),spotify:track:44ashym52bERKclJsKt3Db
Ambré,Pulp,fubu,spotify:track:7mW3OA1shTSqCkCaWHo4xl
Wallows,Tell Me That It’s Over,Hard to Believe,spotify:track:0KOUhmRuztZUFOl6QCogLE
Ryan Beatty,Boy in Jeans,Camo,spotify:track:0wJ7keIduhuimIrkSIGF3X
Charlotte Day Wilson,Doubt,Doubt,spotify:track:1RF1l0z7Dy6idHwMFhau0E
Drake,So Far Gone,Little Bit (feat. Lykke Li),spotify:track:524wvipGqxPKYWxkjf9y46
McClenney,SOS,SOS,spotify:track:0Dcv1cRaS8sEUYzjHNhHBr
LOOΠΔ / ODD EYE CIRCLE,Max & Match,Girl Front,spotify:track:5OnchRw2yAuIAwp2RYLCBa
0800,DONDE,DONDE,spotify:track:52khsI5hbw4NV7QgwD8pMR
KAYTRANADA,TIMELESS,Video (feat. Ravyn Lenae),spotify:track:7CPz32jHbtNIZev8vpa9yb
Ralph Castelli,Morning Sex,Morning Sex,spotify:track:2fGRJzoiYJYAzlQAyBONMb
Young Pink,Regardless,Regardless,spotify:track:0vRhfvw60myrUaWEOqt6kB
Ombre2Choc Remix,Kitty Kat Money (Mashup),Kitty Kat Money (Mashup),spotify:track:6Jd3eq4HsmOZEaGNcEvp4H
PawPaw Rod,Glass House,Glass House,spotify:track:1U2hgbpQ92mK7gCWL0lcWY
Chris Brown,Exclusive,Nice (feat. The Game),spotify:track:0KUjBkuFBttwrN0NPRFBwE
Krisy,Nova Tunes 3.7,Julio & sa gogo danseuse,spotify:track:14VZxV0bWEYglXXcNaybQe
Roy Blair,Cat Heaven,Jane,spotify:track:34hUQ9ahInlX8q5T4Baeg1
Beyoncé,RENAISSANCE,THIQUE,spotify:track:1LCm0lFnEsxR2oPqyHLGX9
Havelock,Pheromones,Pheromones,spotify:track:03vyvoUP4nWaSTJ334Ftpa
Fergie,The Dutchess,Glamorous,spotify:track:4KTtYhxFtFL7mBwnjkKfLm
Floetry,Floetic,Getting Late,spotify:track:0khnsS3vcqT6qngEhZCk4c
Drake,Views,Childs Play,spotify:track:3NxAG2ni1lLa8RKL6a0INc
ELIZA,Lava/Treacle,Lava/Treacle,spotify:track:3U8dhK8wiVtsdmj7jwUJlB
Charli xcx,BRAT,"Girl, so confusing",spotify:track:41krZZovstMJKeJZJtbL78
"Tyler, The Creator",Flower Boy,Pothole (feat. Jaden Smith),spotify:track:5SxlUF7J8tyFIEF22EomeP
UMI,FRIENDZONE,FRIENDZONE,spotify:track:2FgmJCCxoRb6LEd5biOZxp
Folamour,Umami,Petit Prince Du Macadam,spotify:track:3cCLvbMCHMgX7DLXPr1ALv
Free The Birds,Free The Birds,Do U Miss All The,spotify:track:44iUaGP6C5DDC3zeHyRdSe
YoungBoy Never Broke Again,AI YoungBoy 2,Make No Sense,spotify:track:6klLvorLoo1sxvZcjJIY8I
Cezaire,You Came in Time,You Came in Time,spotify:track:7bEXUAdF2FLywWwIHr3fUQ
Tove Lo,Lady Wood,Don’t Talk About It,spotify:track:073A1FsNWqMxmdcRMeU57t
Duke Dumont,Ocean Drive,Ocean Drive,spotify:track:0b6wdul3A5sQNpIOv03OxP
Shawn Mendes,Lost In Japan,Lost In Japan,spotify:track:7wvYmO5QscgIDDT0eNwbYX
Ivan Ave,Helping Hands,The Circle,spotify:track:60DLWXwghcL7vBZmanhLtU
